"0805.3696","Timo Weigand","Constantin Bachas, Massimo Bianchi, Ralph Blumenhagen, Dieter Lust,
  Timo Weigand","Comments on Orientifolds without Vector Structure","34 pages, 3 figures, 1 table","JHEP 0808:016,2008","10.1088/1126-6708/2008/08/016",,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We revisit type I compactifications with a Spin(32)/Z2 gauge bundle that
admits no vector structure. We elucidate the relation of this Z2 obstruction to
discrete B-field flux and to 't Hooft flux and clarify some subtleties in the
T-duality transformation to type IIA intersecting D-brane models. We reexamine
the earliest 3-generation GUT model on magnetized D-branes and show its
consistency when a discrete B-flux is switched on. We further generalize
partially known results for toroidal models to type I compactifications without
vector structure and their mirror dual type IIA orientifolds on genuine
Calabi-Yau manifolds. We illustrate this by working out the example of the
quintic in some detail.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 12:54:08 GMT""}]","2009-10-07"
"0805.3705","Matthew Johnson","Matthew C Johnson, Magdalena Larfors","Field dynamics and tunneling in a flux landscape","23 PRD-style pages with 11 embedded figures. Added refs, corrected
  typos, and clarified Sec. V. Replaced to match published version","Phys.Rev.D78:083534,2008","10.1103/PhysRevD.78.083534","UUITP-09/08, CALT-68.2687","hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate field dynamics and tunneling between metastable minima in a
landscape of Type IIB flux compactifications, utilizing monodromies of the
complex structure moduli space to continuously connect flux vacua. After
describing the generic features of a flux-induced potential for the complex
structure and Type IIB axio-dilaton, we specialize to the Mirror Quintic
Calabi--Yau to obtain an example landscape. Studying the cosmological dynamics
of the complex structure moduli, we find that the potential generically does
not support slow-roll inflation and that in general the landscape separates
neatly into basins of attraction of the various minima. We then discuss
tunneling, with the inclusion of gravitational effects, in many-dimensional
field spaces. A set of constraints on the form of the Euclidean paths through
field space are presented, and then applied to construct approximate instantons
mediating the transition between de Sitter vacua in the flux landscape. We find
that these instantons are generically thick-wall and that the tunneling rate is
suppressed in the large-volume limit. We also consider examples where
supersymmetry is not broken by fluxes, in which case near-BPS thin-wall bubbles
can be constructed. We calculate the bubble wall tension, finding that it
scales like a D- or NS-brane bubble, and comment on the implications of this
correspondence. Finally, we present a brief discussion of eternal inflation in
the flux-landscape.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 20:55:29 GMT""},{""version"":""v2"",""created"":""Mon, 16 Jun 2008 16:42:32 GMT""},{""version"":""v3"",""created"":""Thu, 6 Nov 2008 22:07:17 GMT""}]","2008-11-26"
"0805.3752","Almudena Arcones","A.Arcones, G.Martinez-Pinedo, E.O'Connor, A.Schwenk, H.-Th.Janka,
  C.J.Horowitz, K.Langanke","Influence of light nuclei on neutrino-driven supernova outflows","10 pages, 4 figures, submitted to PRC","Phys.Rev.C78:015806,2008","10.1103/PhysRevC.78.015806",,"astro-ph nucl-ex nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the composition of the outer layers of a protoneutron star and show
that light nuclei are present in substantial amounts. The composition is
dominated by nucleons, deuterons, tritons and alpha particles; 3He is present
in smaller amounts. This composition can be studied in laboratory experiments
with new neutron-rich radioactive beams that can reproduce similar densities
and temperatures. After including the corresponding neutrino interactions, we
demonstrate that light nuclei have a small impact on the average energy of the
emitted electron neutrinos, but are significant for the average energy of
antineutrinos. During the early post-explosion phase, the average energy of
electron antineutrinos is slightly increased, while at later times during the
protoneutron star cooling it is reduced by about 1 MeV. The consequences of
these changes for nucleosynthesis in neutrino-driven supernova outflows are
discussed.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 20:55:13 GMT""}]","2008-11-26"
"0805.3757","Niko Komin","Niko Komin, Ra\'ul Toral","Drug absorption through a cell monolayer: a theoretical work on a
  non-linear three-compartment model","21 pages, 8 figures (v4: detailed definition of the treated model -
  additional information about limitations)","European Journal of Pharmaceutical Sciences, 37 (2009), 106-114","10.1016/j.ejps.2009.01.005",,"q-bio.OT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The subject of analysis is a non-linear three-compartment model, widely used
in pharmacological absorption studies. It has been transformed into a general
form, thus leading automatically to an appropriate approximation. This made the
absorption profile accessible and expressions for absorption times, apparent
permeabilities and equilibrium values were given. These findings allowed a
profound analysis of results from non-linear curve fits and delivered the
dependencies on the systems' parameters over a wide range of values. The
results were applied to an absorption experiment with multidrug
transporter-affected antibiotic CNV97100 on Caco-2 cell monolayers.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 15:57:15 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 2008 14:26:22 GMT""},{""version"":""v3"",""created"":""Mon, 15 Dec 2008 11:55:44 GMT""},{""version"":""v4"",""created"":""Mon, 12 Jan 2009 11:11:46 GMT""}]","2010-03-04"
"0805.3758","Javier Fresan","J. M. Ancochea Bermudez, J. Fresan, Juan Margalef-Bentabol","Contractions of low-dimensional nilpotent Jordan algebras","12 pages, 3 figures","Communications in Algebra, 39 (2011) 1139-1151","10.1080/00927871003649393",,"math.RA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we classify the laws of three-dimensional and four-dimensional
nilpotent Jordan algebras over the field of complex numbers. We describe the
irreducible components of their algebraic varieties and extend contractions and
deformations among them. In particular, we prove that J2 and J3 are irreducible
and that J4 is the union of the Zariski closures of two rigid Jordan algebras.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 18:07:06 GMT""}]","2017-02-13"
"0805.3795","Axel Boldt","Craig Calcaterra and Axel Boldt","Approximating with Gaussians","16 pages, 23 figures",,,,"math.CA math.FA","http://creativecommons.org/licenses/by/3.0/","  Linear combinations of translations of a single Gaussian, e^{-x^2}, are shown
to be dense in L^2(R). Two algorithms for determining the coefficients for the
approximations are given, using orthogonal Hermite functions and least squares.
Taking the Fourier transform of this result shows low-frequency trigonometric
series are dense in L^2 with Gaussian weight function.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 19:31:44 GMT""}]","2008-05-27"
"0805.3803","Roland E. Allen","Roland E. Allen","Coupling of electrons to the electromagnetic field in a localized basis","6 pages, Physical Review B",,"10.1103/PhysRevB.78.064305",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A simple formula is obtained for coupling electrons in a complex system to
the electromagnetic field. It includes the effect of intra-atomic excitations
and nuclear motion, and can be applied in. e.g., first-principles-based
simulations of the coupled dynamics of electrons and nuclei in materials and
molecules responding to ultrashort laser pulses. Some additional aspects of
nonadiabatic dynamical simulations are also discussed, including the potential
of ""reduced Ehrenfest'"" simulations for treating problems where standard
Ehrenfest simulations will fail.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 03:32:57 GMT""},{""version"":""v2"",""created"":""Fri, 15 Aug 2008 21:58:19 GMT""}]","2009-11-13"
"0805.3821","Haiyun Liu","Haiyun Liu, Xiaowen Jia, Wentao Zhang, Lin Zhao, Jianqiao Meng,
  Guodong Liu, Xiaoli Dong, G. Wu, R. H. Liu, X. H. Chen, Z. A. Ren, Wei Yi, G.
  C. Che, G. F. Chen, N. L. Wang, Guiling Wang, Yong Zhou, Yong Zhu, Xiaoyang
  Wang, Zhongxian Zhao, Zuyan Xu, Chuangtian Chen, X. J. Zhou","Superconducting Gap and Pseudogap in Sm(O$_{1-x}$F$_x$)FeAs Layered
  Superconductor from Photoemission Spectroscopy","4 pages, 4 figures","Chinese Physics Letters 25 (2008) 3761",,,"cond-mat.supr-con cond-mat.str-el","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  High resolution photoemission measurements have been carried out on
non-superconducting SmOFeAs parent compound and superconducting
Sm(O$_{1-x}$F$_x$)FeAs (x=0.12, and 0.15) compounds. The momentum-integrated
spectra exhibit a clear Fermi cutoff that shows little leading-edge shift in
the superconducting state which suggests the Fermi surface sheet(s) around the
$\Gamma$ point may not be gapped in this multiband superconductors. A robust
feature at 13 meV is identified in all these samples. Spectral weight
suppression near E$_F$ with decreasing temperature is observed in both undoped
and doped samples that points to a possible existence of a pseudogap in these
Fe-based compounds.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 01:38:35 GMT""}]","2008-10-06"
"0805.3826","Jeremy Marzuola","Andrew Hassell, Luc Hillairet, Jeremy Marzuola","Eigenfunction concentration for polygonal billiards","9 pages, 3 figures",,,,"math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this note, we extend the results on eigenfunction concentration in
billiards as proved by the third author in \cite{M1}. There, the methods
developed in Burq-Zworski \cite{BZ3} to study eigenfunctions for billiards
which have rectangular components were applied. Here we take an arbitrary
polygonal billiard $B$ and show that eigenfunction mass cannot concentrate away
from the vertices; in other words, given any neighbourhood $U$ of the vertices,
there is a lower bound $$ \int_U |u|^2 \geq c \int_B |u|^2 $$ for some $c =
c(U) > 0$ and any eigenfunction $u$.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 04:17:00 GMT""},{""version"":""v2"",""created"":""Mon, 29 Sep 2008 08:32:25 GMT""}]","2008-09-29"
"0805.3836","Pavel Rodin","Pavel Rodin, Andey Minarsky, Igor Grekhov","Impact ionization fronts in semiconductors: superfast propagation due to
  ""nonlocalized"" preionization","4 pages, 5 figures",,"10.1063/1.2944139",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We discuss a new mode of ionization front passage in semiconductor
structures. The front of avalanche ionization propagates into an intrinsic
semiconductor with a constant electric field $E_{\rm m}$ in presence of a small
concentration of free nonequilibrium carriers - so called preionization. We
show that if the profile of these initial carriers decays in the direction of
the front propagation with a characteristic exponent $\lambda$, the front
velocity is determined by $v_f \approx 2 \beta_{\rm m}/\lambda$, where
$\beta_{\rm m} \equiv \beta(E_{\rm m})$ is the corresponding ionization
frequency. By a proper choice of the preionization profile one can achieve
front velocities $v_f$ that exceed the saturated drift velocity $v_s$ by
several orders of magnitude even in moderate electric fields. Our propagation
mechanism differs from the one for well-known TRAPATT fronts. Finally, we
discuss physical reasons for the appearance of preionization profiles with slow
spatial decay.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 16:16:09 GMT""}]","2009-11-13"
