"0805.3837","Sanjay Kumar","Sanjay Kumar","Can re-entrance be observed in force induced transitions?","12 pages and 5 figures (RevTex4). Accepted in Europhys Lett. (2009)",,"10.1209/0295-5075/85/38003","BHU/phy/2008/001","cond-mat.soft cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A large conformational change in the reaction co-ordinate and the role of the
solvent in the formation of base-pairing are combined to settle a long standing
issue {\it i.e.} prediction of re-entrance in the force induced transition of
DNA. A direct way to observe the re-entrance, i.e a strand goes to the closed
state from the open state and again to the open state with temperature, appears
difficult to be achieved in the laboratory. An experimental protocol (in direct
way) in the constant force ensemble is being proposed for the first time that
will enable the observation of the re-entrance behavior in the
force-temperature plane. Our exact results for small oligonucleotide that forms
a hairpin structure provide the evidence that re-entrance can be observed.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 16:28:26 GMT""},{""version"":""v2"",""created"":""Sun, 11 Jan 2009 08:06:08 GMT""}]","2009-11-13"
"0805.3838","Rafael Villarreal H","Luis A. Dupont, Enrique Reyes-Espinoza, and Rafael H. Villarreal","Cohen-Macaulay clutters with combinatorial optimization properties and
  parallelizations of normal edge ideals","The Sao Paulo Journal of Mathematical Sciences, to appear","S\~ao Paulo J. Math. Sci. {\bf 3 (2009), no. 1, 61-75",,,"math.AC math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Let C be a uniform clutter and let I=I(C) be its edge ideal. We prove that if
C satisfies the packing property (resp. max-flow min-cut property), then there
is a uniform Cohen-Macaulay clutter C1 satisfying the packing property (resp.
max-flow min-cut property) such that C is a minor of C1. For arbitrary edge
ideals of clutters we prove that the normality property is closed under
parallelizations. Then we show some applications to edge ideals and clutters
which are related to a conjecture of Conforti and Cornu\'ejols and to max-flow
min-cut problems.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 16:39:02 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2008 00:07:32 GMT""}]","2011-04-05"
"0805.3839","Imran Ahmed","Imran Ahmed","Homogeneous Polynomials with Isomorphic Milnor Algebras","6 pages","Czechoslovak Mathematical Journal, 60(135) (2010), 125-131","10.1007/s10587-010-0003-9",,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In Theorem 3.2 we show that two homogeneous polynomials $f$ and $g$ having
isomorphic Milnor algebras are right-equivalent.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 17:05:55 GMT""}]","2019-04-09"
"0805.3840","Alexander Burin L","V. I. Kozub, Y. M. Galperin, V. Vinokur, A. L. Burin","Memory effects in transport through a hopping insulator: Understanding
  two-dip experiments",,,"10.1103/PhysRevB.78.132201",,"cond-mat.dis-nn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We discuss memory effects in the conductance of hopping insulators due to
slow rearrangements of many-electron clusters leading to formation of polarons
close to the electron hopping sites. An abrupt change in the gate voltage and
corresponding shift of the chemical potential change populations of the hopping
sites, which then slowly relax due to rearrangements of the clusters. As a
result, the density of hopping states becomes time dependent on a scale
relevant to rearrangement of the structural defects leading to the excess time
dependent conductivity.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 17:09:56 GMT""},{""version"":""v2"",""created"":""Thu, 19 Jun 2008 15:02:29 GMT""},{""version"":""v3"",""created"":""Sun, 27 Jul 2008 23:22:07 GMT""},{""version"":""v4"",""created"":""Wed, 30 Jul 2008 12:40:33 GMT""}]","2009-11-13"
"0805.3841","Eugene Shakhnovich","Muyoung Heo, Konstantin B. Zeldovich, Eugene I. Shakhnovich","Diversity against adversity: How adaptive immunity evolves potent
  antibodies",,,,,"q-bio.CB q-bio.BM q-bio.PE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  How does immune system evolve functional proteins - potent antibodies - in
such a short time? We address this question using a microscopic, protein-level,
sequence-based model of humoral immune response with explicitly defined
interactions between Immunoglobulins, host and pathogen proteins. Potent
Immunoglobulins are discovered in this model via clonal selection and affinity
maturation. Possible outcomes of an infection (extinction of cells, survival
with complete elimination of viruses, or persistent infection) crucially depend
on mutation rates of viral and Immunoglobulin proteins. The model predicts that
there is an optimal Somatic Hypermutation (SHM) rate close to experimentally
observed 10-3 per nucleotide per replication. Further, we developed an
analytical theory which explains the physical reason for an optimal SHM program
as a compromise between deleterious effects of random mutations on nascent
maturing Immunoglobulins (adversity) and the need to generate diverse pool of
mutated antibodies from which highly potent ones can be drawn (diversity). The
theory explains such effects as dependence of B cell fate on affinity for an
incoming antigen, ceiling in affinity of mature antibodies, Germinal Center
sizes and maturation times. The theory reveals the molecular factors which
determine the efficiency of affinity maturation, providing insight into
variability of immune response to cytopathic (direct response by germline
antibodies) and poorly cytopathic viruses (crucial role of SHM in response).
These results demonstrate the feasibility and promise of microscopic
sequence-based models of immune system, where population dynamics of evolving
Immunoglobulins is explicitly tied to their molecular properties.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 17:26:58 GMT""}]","2008-05-27"
"0805.3842","Romain Dujardin","Jeffrey Diller, Romain Dujardin and Vincent Guedj","Dynamics of meromorphic maps with small topological degree II: Energy
  and invariant measure","Minor modifications. Final version, to appear in Comment. Math.
  Helvet",,,,"math.DS math.CV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We continue our study of the dynamics of meromorphic mappings with small
topological degree on a compact K\""ahler surface $X$. Under general hypotheses
we are able to construct a canonical invariant measure which is mixing, does
not charge pluripolar sets and admits a natural geometric description.
  Our hypotheses are always satisfied when $X$ has Kodaira dimension zero, or
when the mapping is induced by a polynomial endomorphism of $\mathbf{C}^2$.
They are new even in the birational case. We also exhibit families of mappings
where our assumptions are generically satisfied and show that if
counterexamples exist, the corresponding measure must give mass to a pluripolar
set.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 17:59:26 GMT""},{""version"":""v2"",""created"":""Mon, 21 Sep 2009 20:37:46 GMT""}]","2009-09-21"
"0805.3843","Cristiano Galbiati","The Borexino Collaboration","New results on solar neutrino fluxes from 192 days of Borexino data",,"Phys.Rev.Lett.101:091302,2008","10.1103/PhysRevLett.101.091302",,"astro-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We report the direct measurement of the ^7Be solar neutrino signal rate
performed with the Borexino detector at the Laboratori Nazionali del Gran
Sasso. The interaction rate of the 0.862 MeV ^7Be neutrinos is
49+-3(stat)+-4(syst) counts/(day * 100ton). The hypothesis of no oscillation
for ^7Be solar neutrinos is inconsistent with our measurement at the 4sigma
level. Our result is the first direct measurement of the survival probability
for solar nu_e in the transition region between matter-enhanced and
vacuum-driven oscillations. The measurement improves the experimental
determination of the flux of ^7Be, pp, and CNO solar nu_e, and the limit on the
magnetic moment of neutrinos.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 18:06:31 GMT""},{""version"":""v2"",""created"":""Mon, 9 Jun 2008 16:22:07 GMT""}]","2012-08-27"
"0805.3844","Nikolaos Kidonakis","Nikolaos Kidonakis and Ramona Vogt","The theoretical top quark cross section at the Tevatron and the LHC","14 pages, 4 figures","Phys.Rev.D78:074005,2008","10.1103/PhysRevD.78.074005",,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present results for the top quark pair cross section at the Tevatron and
the LHC. We use the resummed double differential cross section, employing the
fully kinematics-dependent soft anomalous dimension matrices, to calculate the
soft-gluon contributions at next-to-next-to-leading order (NNLO). We improve
and update our previous estimates by refining our methods, including further
subleading terms, and employing the most recent parton distribution function
sets. The NNLO soft corrections significantly enhance the NLO cross section
while considerably reducing the scale dependence. We provide a detailed
discussion of all theoretical uncertainties in our calculation, including
kinematics, scale, and parton distributions uncertainties and clarify the
differences between our work and other approaches in the literature.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 18:11:47 GMT""}]","2008-11-26"
"0805.3845","Laurent Bessieres","Laurent Bessi\`eres (IF), G\'erard Besson (IF), Gilles Courtois
  (CMLS-EcolePolytechnique), Sylvain Gallot (IF)","Differentiable Rigidity under Ricci curvature lower bound","33 pages, 1 dessin","Duke Math. J. 161, no. 1 (2012), 29-67","10.1215/00127094-1507272",,"math.DG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this article we prove a differentiable rigidity result. Let $(Y, g)$ and
$(X, g_0)$ be two closed $n$-dimensional Riemannian manifolds ($n\geqslant 3$)
and $f:Y\to X$ be a continuous map of degree $1$. We furthermore assume that
the metric $g_0$ is real hyperbolic and denote by $d$ the diameter of
$(X,g_0)$. We show that there exists a number $\varepsilon:=\varepsilon (n,
d)>0$ such that if the Ricci curvature of the metric $g$ is bounded below by
$-n(n-1)$ and its volume satisfies $\vol_g (Y)\leqslant (1+\varepsilon)
\vol_{g_0} (X)$ then the manifolds are diffeomorphic. The proof relies on
Cheeger-Colding's theory of limits of Riemannian manifolds under lower Ricci
curvature bound.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 19:03:38 GMT""},{""version"":""v2"",""created"":""Fri, 28 May 2010 08:47:56 GMT""}]","2019-12-19"
"0805.3847","Gerald Teschl","Spyridon Kamvissis and Gerald Teschl","Stability of the Periodic Toda Lattice: Higher Order Asymptotics","This preprint has been combined with arXiv:0705.0346. It is now
  obsolete",,,,"nlin.SI math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In a recent paper we have considered the long time asymptotics of the
periodic Toda lattice under a short range perturbation and we have proved that
the perturbed lattice asymptotically approaches a modulated lattice. In the
present paper we capture the higher order asymptotics, at least away from some
resonance regions. In particular we prove that the decay rate is $O(t^{-1/2})$.
  Our proof relies on the asymptotic analysis of the associated Riemann-Hilbert
factorization problem, which is here set on a hyperelliptic curve. As in
previous studies of the free Toda lattice, the higher order asymptotics arise
from ""local"" Riemann-Hilbert factorization problems on small crosses centered
on the stationary phase points. We discover that the analysis of such a local
problem can be done in a chart around each stationary phase point and reduces
to a Riemann--Hilbert factorization problem on the complex plane. This result
can then be pulled back to the hyperelliptic curve.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 19:31:17 GMT""},{""version"":""v2"",""created"":""Thu, 29 May 2008 12:57:24 GMT""},{""version"":""v3"",""created"":""Tue, 19 Jan 2010 09:41:30 GMT""},{""version"":""v4"",""created"":""Tue, 25 May 2010 10:53:21 GMT""}]","2010-05-26"
"0805.3848","Jaros{\l}aw Buczy\'nski","Jaros{\l}aw Buczy\'nski","Algebraic Legendrian Varieties","116 pages, 6 figures. Author's PhD thesis (corrected and improved),
  defended on Feb 7th, 2008. to appear in Dissertationnes Mathematicae","Documenta Math. 15 (2010) 821-841","10.4064/dm467-0-1",,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Real Legendrian subvarieties are classical objects of differential geometry
and classical mechanics and they have been studied since antiquity. However,
complex Legendrian subvarieties are much more rigid and have more exceptional
properties. The most remarkable case is the Legendrian subvarieties of
projective space and prior to the author's research only few smooth examples of
these were known.
  The first series of results of this thesis is related to the automorphism
group of any Legendrian subvariety in any projective contact manifold. The
connected component of this group (under suitable minor assumptions) is
completely determined by the sections of the distinguished line bundle on the
contact manifold vanishing on the Legendrian variety. Moreover its action
preserves the contact structure.
  The second series of results is devoted to finding new examples of smooth
Legendrian subvarieties of projective space. The contribution of this thesis is
in three steps: First we find an example of a smooth toric surface. Next we
find a smooth quasihomogeneous Fano 8-fold that admits a Legendrian embedding.
Finally, we realise that both of these are special cases of a very general
construction: a general hyperplane section of a smooth Legendrian variety,
after a suitable projection, is a smooth Legendrian variety of smaller
dimension. By applying this result to known examples and decomposable
Legendrian varieties, we construct infinitely many new examples in every
dimension, with various Picard rank, canonical degree, Kodaira dimension and
other invariants.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 19:58:08 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jan 2010 22:27:12 GMT""}]","2013-05-16"
"0805.3849","A. Lewis Licht","A. Lewis Licht","Wilson Line Integrals in the Unparticle Action","9 pages",,,,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider the unparticle action that is made gauge invariant by inclusion
of an open Wilson line factor. In deriving vertexes from such an action it has
been customary to use a form of differentiating the Wilson line originally
proposed by Mandelstam. Using a simple example, we show that the Mandelstam
derivative is mathematically inconsistent. We show that there are two ways to
define differentiation of the Wilson line. The mathematically consistent method
is to differentiate the explicit dependence of the line on the endpoint. The
other method is a functional derivative and corresponds in a limiting case to
the Mandelstam derivative. We also show that the only path that can be used in
the Wilson line integral that leaves the unparticle action both Poincare and
scale invariant is the straight line.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 21:24:23 GMT""}]","2008-05-27"
"0805.3850","Diederik Aerts","Diederik Aerts","Quantum Structure in Cognition","58 pages, 1 figure. Reworked version after review process","Journal of Mathematical Psychology, 53, 314-348, 2009.","10.1016/j.jmp.2009.04.005",,"math-ph math.MP quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The broader scope of our investigations is the search for the way in which
concepts and their combinations carry and influence meaning and what this
implies for human thought. More specifically, we examine the use of the
mathematical formalism of quantum mechanics as a modeling instrument and
propose a general mathematical modeling scheme for the combinations of
concepts. We point out that quantum mechanical principles, such as
superposition and interference, are at the origin of specific effects in
cognition related to concept combinations, such as the guppy effect and the
overextension and underextension of membership weights of items. We work out a
concrete quantum mechanical model for a large set of experimental data of
membership weights with overextension and underextension of items with respect
to the conjunction and disjunction of pairs of concepts, and show that no
classical model is possible for these data. We put forward an explanation by
linking the presence of quantum aspects that model concept combinations to the
basic process of concept formation. We investigate the implications of our
quantum modeling scheme for the structure of human thought, and show the
presence of a two-layer structure consisting of a classical logical layer and a
quantum conceptual layer. We consider connections between our findings and
phenomena such as the disjunction effect and the conjunction fallacy in
decision theory, violations of the sure thing principle, and the Allais and
Elsberg paradoxes in economics.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 21:27:22 GMT""},{""version"":""v2"",""created"":""Thu, 12 Mar 2009 00:24:13 GMT""}]","2010-04-16"
"0805.3851","James P. Crutchfield","David Dunn and James P. Crutchfield","Entomogenic Climate Change","7 pages, 1 figure; http://cse.ucdavis.edu/~chaos/chaos/pubs/ecc.htm",,,,"q-bio.PE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Rapidly expanding insect populations, deforestation, and global climate
change threaten to destabilize key planetary carbon pools, especially the
Earth's forests which link the micro-ecology of insect infestation to climate.
To the extent mean temperature increases, insect populations accelerate
deforestation. This alters climate via the loss of active carbon sequestration
by live trees and increased carbon release from decomposing dead trees. A
positive feedback loop can emerge that is self-sustaining--no longer requiring
independent climate-change drivers. Current research regimes and insect control
strategies are insufficient at present to cope with the present regional scale
of insect-caused deforestation, let alone its likely future global scale.
Extensive field recordings demonstrate that bioacoustic communication plays a
role in infestation dynamics and is likely to be a critical link in the
feedback loop. These results open the way to novel detection and monitoring
strategies and nontoxic control interventions.
","[{""version"":""v1"",""created"":""Sun, 25 May 2008 22:03:00 GMT""}]","2008-05-27"
"0805.3853","Annalisa Cerquetti","Annalisa Cerquetti","Generalized Chinese restaurant construction of exchangeable Gibbs
  partitions and related results","12 pages",,,,"math.PR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  By resorting to sequential constructions of exchangeable random partitions
(Pitman, 2006), and exploiting some known facts about generalized Stirling
numbers, we derive a generalized Chinese restaurant process construction of
exchangeable Gibbs partitions of type $\alpha$ (Gnedin and Pitman, 2006). Our
construction represents the natural theoretical probabilistic framework in
which to embed some recent results about a Bayesian nonparametric treatment of
estimation problems arising in genetic experiment under Gibbs, species
sampling, models priors.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 00:29:57 GMT""}]","2008-05-27"
"0805.3854","Rachel Poldy","R. Poldy, B. C. Buchler, J. C. Close","Single Atom Detection With Optical Cavities","11 pages, 8 figures, submitted to PRA, minor changes in Secs. I and
  IVD.2, and revised Fig.2","Phys. Rev. A 78, 013640 (2008)","10.1103/PhysRevA.78.013640",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a thorough analysis of single atom detection using optical
cavities. The large set of parameters that influence the signal-to-noise ratio
for cavity detection is considered, with an emphasis on detunings, probe power,
cavity finesse and photon detection schemes. Real device operating restrictions
for single photon counting modules and standard photodiodes are included in our
discussion, with heterodyne detection emerging as the clearly favourable
technique, particularly for detuned detection at high power.
","[{""version"":""v1"",""created"":""Mon, 26 May 2008 00:54:53 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jul 2008 00:39:49 GMT""}]","2008-08-07"
